name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
Sicily,1943,Patton,Sicily,Mountains coast,160000 Allied,230000 Axis,Amphibious landings,Aggressive armored exploitation,Allied victory,Aggression and speed,Patton: Attack attack attack - keep enemy off balance
Dien Bien Phu,1954,Vo Nguyen Giap,Vietnam,Valley surrounded hills,16000 French,50000 Viet Minh,Fortified base,Artillery on hills siege,Viet Minh victory,Logistics and patience,Giap: Move artillery impossible distances win through willpower
Six Day War,1967,Israeli Commanders,Middle East,Desert,264000 Israelis,547000 Arabs,Preemptive air strikes armor,Defensive positions,Israeli victory 6 days,First strike decisive,Israeli doctrine: Preemption and speed in confined geography
Desert Storm,1991,Schwarzkopf,Iraq Kuwait,Desert,956000 Coalition,650000 Iraqi,Air campaign 38 days then ground,Defensive positions,Coalition victory 100 hours,Modern tech and air power,Schwarzkopf: Destroy enemy capability before ground forces engage
Waterloo,18 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Waterloo was fought on Sunday 18 June 1815, near Waterloo (then in the United Kingdom "
Gettysburg,1 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Gettysburg (locally  ) was a three-day battle in the American Civil War, which was fou"
Marathon,490 BC,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Marathon took place in 490 BC during the first Persian invasion of Greece. It was foug
Hastings,14 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Hastings was fought on 14 October 1066 between the Norman-French army of William, Duke"
Midway,4,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Midway was a major naval battle in the Pacific Theater of World War II that took place
Tours,10 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Tours, also called the Battle of Poitiers and the Battle of the Highway of the Martyrs"
Agincourt,25 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Agincourt ( AJ-in-kor(t); French: Azincourt [azɛ̃kuʁ]) was an English victory in the H
Leipzig,16 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Leipzig, also known as the Battle of the Nations, was fought from 16 to 19 October 181"
Vienna,12 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Siege and Battle of Vienna took place at Kahlenberg Mountain near Vienna on 12 September 1683 af
Borodino,7 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Borodino or the Battle of Moscow took place on the outskirts of Moscow near the villag
Salamis,480 BC,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Salamis ( SAL-ə-miss) was a naval battle fought in 480 BC, between an alliance of Gree"
Trafalgar,21 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Trafalgar was a naval engagement that took place on 21 October 1805 between the Royal 
Jutland,31 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Jutland (German: Skagerrakschlacht, lit. 'Battle of the Skagerrak') was a naval battle"
Verdun,21 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Verdun (French: Bataille de Verdun [bataj də vɛʁdœ̃]; German: Schlacht um Verdun [ʃlax
the Somme,1 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of the Somme (French: Bataille de la Somme; German: Schlacht an der Somme), also known as"
Britain,18 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Britain (German: Luftschlacht um England, lit. 'air battle for England') was a militar"
the Bulge,16 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of the Bulge, also known as the Ardennes Offensive or Unternehmen Wacht am Rhein, was the"
Iwo Jima,19 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Iwo Jima (硫黄島の戦い, Iōtō no Tatakai, Iōjima no Tatakai; 19 February – 26 March 1945) was"
Kursk,1943,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Kursk, also called the Battle of the Kursk Salient, was a major World War II Eastern F"
El Alamein,1942,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"There were two Battles of El Alamein in World War II, both fought in 1942. The battles occurred duri"
Yorktown,Unknown,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The siege of Yorktown, also known as the Battle of Yorktown and the surrender at Yorktown, was the f"
Actium,2 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Actium was a naval battle fought between Octavian's maritime fleet, led by Marcus Agri"
Chalons,20,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of the Catalaunian Plains (or Fields), also called the Battle of the Campus Mauriacus, Ba"
Kadesh,1274 BC,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Kadesh took place in the 13th century BC between the Egyptian Empire led by pharaoh Ra
Sekigahara,21,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Sekigahara (Shinjitai: 関ヶ原の戦い; Kyūjitai: 關ヶ原の戰い, Hepburn romanization: Sekigahara no T"
Red Cliffs,208,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Red Cliffs, also known as the Battle of Chibi, was a decisive naval battle in China th"
Plassey,23 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Plassey was a decisive victory of the British East India Company, under the leadership"
Blenheim,13 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Blenheim (German: Zweite Schlacht bei Höchstädt; French: Bataille de Höchstädt; Dutch:
Saratoga,19 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battles of Saratoga (September 19 and October 7, 1777) were two battles between the American Con"
Omdurman,2 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Omdurman,  also known as the Battle of Karary, was fought during the Anglo-Egyptian co"
Tannenberg,23 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Tannenberg, also known as the Second Battle of Tannenberg, was fought between Russia a"
Poltava,8 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Poltava took place 8 July 1709, was the decisive and largest battle of the Great North"
Valtetsi,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Valtetsi was fought on 24 May, 1821 in Valtetsi between the Ottoman army and Greek revolutionaries."
the Persian Gate,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Persian Gate took place as part of the Wars of Alexander the Great. In the winter of 330 BC, Ariobarzanes of Persis led a last stand with his outnumbered Persian army at the Persian "
Daraa (1918),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Daraa took place in 1918 in Daraa, Syria, during the Arab Revolt in World War I."
Chesma,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Chesma (also known the Battle of Chesme, Battle of Cheshme or Battle of Cesme Bay) took place on 5–7 July 1770 during the near and in Çeşme, in the area between the western tip of Anatol"
List of battles of the Imperial Japanese Navy,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The following are some of the battles of the Imperial Japanese Navy (IJN):
Indochina wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"During the Cold War, the Indochina wars (Vietnamese: Chiến tranh Đông Dương) were a series of wars which were waged in Indochina from 1945 to 1991, by communist forces (mainly ones led by Vietnamese c"
Baekgang,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Baekgang (Korean: 백강 전투; Hanja: 白江戰鬪) or Battle of Baekgang-gu, also known as the Battle of Hakusukinoe (Japanese: 白村江の戦い, romanized: Hakusuki-no-e no Tatakai / Hakusonkō no Tatakai) in "
Commanders of World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Commanders of World War II were for the most part career officers. They were forced to adapt to new technologies and forged the direction of modern warfare. Some political leaders, particularly th"
Hattin,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Hattin took place on 4 July 1187, between the Crusader states of the Levant and the forces of the Ayyubid sultan Saladin. It is also known as the Battle of the Horns of Hattin, due to th"
Jena–Auerstedt,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The twin battles of Jena and Auerstedt (German pronunciation: [ˈjeːna … ˈaʊ̯ɐ.ʃtɛt]; older spelling: Auerstädt) were fought on 14 October 1806 on the plateau west of the river Saale in today's Germany
Brice's Cross Roads,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Brice's Cross Roads, also known as the Battle of Tishomingo Creek or the Battle of Guntown, was fought on Friday, June 10, 1864, near Baldwyn, Mississippi, then part of the Confederate S"
Wadi al-Khaznadar,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Wadi al-Khaznadar, also known as the Third Battle of Homs, was a Mongol victory over the Mamluks in 1299.

"
Caffa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Caffa was a 14th-century military encounter when Jani Beg of the Golden Horde besieged the city of Caffa (modern-day Feodosia), between two periods in the 1340s. The city of Caffa, a Geno"
Plataea,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Plataea was the final land battle during the second Persian invasion of Greece. It took place in 479 BC near the city of Plataea in Boeotia, and was fought between an alliance of the Gre"
Köse Dağ,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Köse Dağ took place in eastern Anatolia on 26 June 1243 when an army of the Sultanate of Rum, led by Sultan Kaykhusraw II, confronted an invading Mongol army under the general Baiju and "
Artemisium,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Artemisium or Artemision was a series of naval engagements over three days during the second Persian invasion of Greece. The battle took place simultaneously with the land battle at Ther
Causes of World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The identification of the causes of World War I remains a debated issue. World War I began in the Balkans on July 28, 1914, and hostilities ended on November 11, 1918, leaving 17 million dead and 25 m"
Tiger Hill,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Tiger Hill encompasses the battles fought in and around the peak of Tiger Hill between the Indian Army and Pakistani Army from the final week of May till second week of June 1999, during"
List of battles and operations in the 1948 Palestine war,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Following is a list of battles and operations in the 1948 Palestine war.
Medieval warfare,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Medieval warfare is the warfare of the Middle Ages. Technological, cultural, and social advancements had forced a severe transformation in the character of warfare from antiquity, changing military ta"
Jaffa (1192),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Jaffa took place during the Crusades, as one of a series of campaigns between the army of Sultan Saladin (Ṣalāḥ al-Dīn Yūsuf ibn Ayyūb) and the Crusader forces led by King Richard I of E"
Beiping–Tianjin,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Beiping–Tianjin (simplified Chinese: 平津作战; traditional Chinese: 平津作戰; pinyin: Píng Jīn Zùozhàn), also known as the Battle of Beiping, Battle of Peiping, Battle of Beijing, Battle of Peik"
Belvoir Castle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Belvoir Castle, also called the Battle of Le Forbelet, was a part of Saladin’s campaign in May — August 1182 against the Crusaders. Crusader forces led by King Baldwin IV of Jerusalem ba"
Iwo Jima,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Iwo Jima (硫黄島の戦い, Iōtō no Tatakai, Iōjima no Tatakai; 19 February – 26 March 1945) was a major battle in which the United States Marine Corps (USMC) and United States Navy (USN) landed o"
United Nations Forces in the Korean War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"After the outbreak of Korean War on 25 June 1950, 16 countries (deploying / arrival order): United States, United Kingdom, Australia, Netherlands, Canada, France, New Zealand, Philippines, Turkey, Tha"
List of battles of the Turkish War of Independence,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of battles of the Turkish War of Independence. The list does not include battles fought against the rebels and the Ottoman government (for these, see Revolts during the Turkish War of I"
Nish (1443),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Nish (early November 1443) was fought between the Crusaders led by John Hunyadi and Đurađ Branković and the Ottoman Empire led by Kasım Pasha. It saw the Crusaders capture the Ottoman st
Rape during the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Rape, among other acts of wartime sexual violence, was frequently committed against female Vietnamese civilians during the Vietnam War. It was an aspect of the various human rights abuses perpetrated "
Anfal campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Anfal campaign was a counterinsurgency operation which was carried out by Ba'athist Iraq from February to September 1988 during the Iraqi–Kurdish conflict at the end of the Iran–Iraq War. The camp
the Frigidus,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Frigidus, also called the Battle of the Frigid River, was fought on 5 and 6 September 394 between the armies of the Roman emperor Theodosius the Great and the rebel augustus Eugenius"
Imjin War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Imjin War (Korean: 임진왜란; Hanja: 壬辰倭亂) was a series of two Japanese invasions of Korea: an initial invasion in 1592 also individually called the ""Imjin War"", a brief truce in 1596, and a second inv"
List of battles 1801–1900,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Historic battle
the Ialomița,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Ialomița was fought between the army of the Kingdom of Hungary and the Ottoman Empire in 1442, John Hunyadi defeated the army of Şehabeddin Pasha, the Provincial Governor of Rumelia,"
Naval Guadalcanal,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Naval Battle of Guadalcanal took place from 12 to 15 November 1942 and was the decisive engagement in a series of naval battles between Allied (primarily American) and Imperial Japanese forces dur
Four Battles in North Africa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Four Battles in North Africa is a collection of four board wargames published in 1976 by Simulations Publications, Inc. (SPI) that simulate various battles during the North African Campaign of World W"
Encyclopedia of War: Ancient Battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Encyclopedia of War: Ancient Battles is a 1988 video game published by Cases Computer Simulations.
North Carolina in the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"During the American Civil War, North Carolina joined the Confederacy with some reluctance, mainly due to the presence of Southern Unionist
sentiment within the state. A popular vote in February, 1861 "
Blitz campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"In the world of marketing, a blitz campaign is a very short, intensive, and focused marketing campaign for a product or business. A blitz campaign is a marketing strategy designed to promote a product"
Battles inscribed on the Arc de Triomphe,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The following is a list of the 158 battles inscribed on the Arc de Triomphe in Paris, which were fought by the French First Republic and the First French Empire between 1792 and 1815:

The names of 96"
the Shangani,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Shangani took place on 25 October 1893 during the First Matabele War in what is now Zimbabwe. A British South Africa Company column led by Major Patrick William Forbes was attacked d
List of French naval battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The following is an incomplete list of famous French naval battles from the Middle Ages to modern France.
Korean War order of battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is the Korean War order of battle. Subsidiary commands are listed on sub-pages. Where no date is shown for a command, assume it present at the start of the war, on June 25, 1950."
the Iron Bridge,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Iron Bridge was fought between the Muslim Rashidun army and the Byzantine army in 637 AD. The battle which ended in Muslim victory took its name from a nearby nine-arch stone bridge 
Bosnian War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Bosnian War (Serbo-Croatian: Rat u Bosni i Hercegovini / Рат у Босни и Херцеговини) was an international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995. Following s
Harim,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Harim (Harenc) was fought on 12 August 1164 at Harim, Syria, between the forces of Nur ad-Din, and a combined army from the County of Tripoli, the Principality of Antioch, the Byzantine "
Punchbowl (Korean War),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Punchbowl (Korean: 펀치볼) was the name given to the bowl-shaped Haean Basin (해안분지) in Yanggu County, Gangwon Province by United Nations (UN) Forces during the Korean War. The Punchbowl lies several "
Shiloh,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Shiloh, also known as the Battle of Pittsburg Landing, was a major battle in the American Civil War fought on April 6–7, 1862. The fighting took place in southwestern Tennessee, which wa"
Valmy,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Valmy, also known as the Cannonade of Valmy, was the first major victory by the army of France during the Revolutionary Wars that followed the French Revolution. The battle took place on"
Bentonville,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Bentonville (March 19–21, 1865) was fought in Johnston County, North Carolina, near the village of Bentonville, as part of the Western Theater of the American Civil War.  It was the last"
Ullais,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ullais (Arabic: معركة أليس) was fought between the forces of the Rashidun Caliphate and the Sasanian Persian Empire in the middle of June 633 AD in  Iraq, and is sometimes referred to as"
Antietam,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Antietam ( an-TEE-təm), also called the Battle of Sharpsburg, particularly in the Southern United States, took place during the American Civil War on September 17, 1862, between Confeder"
Jenin (1948),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Jenin (31 May – 4 June 1948) was fought between Israel and Iraq, along with Arab irregular forces, during the 1948 Arab–Israeli War.

"
East African campaign (World War II) order of battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Order of battle of the East African campaign shows the ground forces of both sides in East Africa on the date that the Italians declared war on Britain and France, 10 June 1940 and for the British"
Mycale,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Mycale was one of the two major battles (the other being the Battle of Plataea) that ended the second Persian invasion of Greece during the Greco-Persian Wars. It took place on 27 or 28 
Quebec (1775),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Quebec (French: Bataille de Québec) was fought on December 31, 1775, between American Continental Army forces and the British defenders of Quebec City as part of the invasion of Quebec o"
the Indus,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Indus was fought on the banks of the Indus River, on 24 November 1221, between the armies commanded by Jalal al-Din of the Khwarazmian Empire, and Genghis Khan of the Mongol Empire. "
List of last surviving World War I veterans,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of the last known surviving veterans of the First World War (28 July 1914 – 11 November 1918) who lived to 1999 or later, along with the last known veterans for countries that participa"
Issus,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Issus (also Issos) occurred in southern Anatolia, on 5 November 333 BC between the Hellenic League led by Alexander the Great and the Achaemenid Empire, led by Darius III. It was the sec"
Mediterranean and Middle East theatre of World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Mediterranean and Middle East theatre, also known as the Mediterranean Theater of War, was a major theatre of operations during the Second World War. The vast size of the theatre saw interconnecte"
Kosovo War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Kosovo War (Albanian: Lufta e Kosovës; Serbian: Косовски рат, Kosovski rat) was an armed conflict in Kosovo that lasted from 28 February 1998 until 11 June 1999. It was fought between the forces o"
Oleshia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Oleshia took place between the cavalry of Rus' princes and a unit of the Mongol Empire led by general Gemebek, in May 1223, near Oleshia (likely in modern-day Kherson Oblast, Ukraine); i"
Names of the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The most common name for the American Civil War in modern American usage is simply ""The Civil War"". Although rarely used during the war, the term ""War Between the States"" became widespread afterward i"
Bataan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Bataan (Filipino: Labanan sa Bataan; 7 January – 9 April 1942) was fought by the United States and the Philippine Commonwealth against Imperial Japan during World War II. The battle repr
Hundred Years' War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Hundred Years' War (French: Guerre de Cent Ans; 1337–1453) was a conflict between the kingdoms of England and France and a civil war in France during the Late Middle Ages. It emerged from feudal d
Viking: Battle for Asgard,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Viking: Battle for Asgard is a 2008 action adventure game developed by Creative Assembly and published by Sega for Playstation 3, Microsoft Windows and Xbox 360. Centered around Norse mythology, the g"
List of battles in South Africa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"List of battles in South Africa is a list of all military conflicts, wars or battles fought within the borders of South Africa."
Kumher,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Kumher was a conflict between the Kingdom of Bharatpur, led by Maharaja Suraj Mal, and the Mughal Empire, supported by its allies, including the Marathas."
Logistics in World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Logistics in World War I was the organising and delivery of supplies to the armed forces of World War I.

"
"Grunwald, Warmian–Masurian Voivodeship",Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Grunwald [ˈɡrunvalt] is a village in the administrative district of Gmina Grunwald, within Ostróda County, Warmian-Masurian Voivodeship, in northern Poland. The village, Grünfelde until 1945, is chief"
the Dardanelles (1807),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Dardanelles took place on 22 May (10 MayOld Style) 1807 as a part of the Napoleonic Wars during the Russo-Turkish War of 1806–1812. It was fought between the Russian and Ottoman navi
Baghdad,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Baghdad took place in early 1258. A large army commanded by Hulegu, a prince of the Mongol Empire, attacked the historic capital of the Abbasid Caliphate after a series of provocations fr"
American Revolutionary War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The American Revolutionary War (April 19, 1775 – September 3, 1783), also known as the Revolutionary War or American War of Independence, was the armed conflict that comprised the final eight years of"
